source_id,name,ra_deg_j1991_25,dec_deg_j1991_25,pmra_mas_yr,pmdec_mas_yr,mag,is_polaris
513,HIP 513,1.54746485,87.88938595,-9.03,15.82,9.1036,false
705,HIP 705,2.19740240,86.78789828,331.45,-6.63,8.5387,false
1284,HIP 1284,4.02181573,88.40120934,5.30,-6.55,9.1870,false
3128,HIP 3128,9.93427094,89.44429274,-11.90,4.54,8.2812,false
3133,HIP 3133,9.95592105,87.79673412,48.08,6.30,9.1161,false
5122,HIP 5122,16.40698549,87.31879485,310.23,79.80,8.9204,false
5372,HIP 5372,17.18399735,86.25711803,80.34,-11.36,4.4059,false
5928,HIP 5928,19.05251889,87.14554531,49.99,-20.22,6.3642,false
6913,HIP 6913,22.25518267,86.93306587,-13.05,10.65,8.5419,false
7283,HIP 7283,23.45214999,89.01571833,64.92,-32.43,6.5024,false
8846,HIP 8846,28.44520044,88.55166287,35.83,-11.06,8.0284,false
9614,HIP 9614,30.89305674,86.93182634,49.38,-11.10,8.1937,false
11767,Polaris,37.94614689,89.26413805,44.22,-11.74,2.1077,true
11980,HIP 11980,38.63128300,88.47114297,52.68,-46.80,8.2093,false
14285,HIP 14285,46.03454378,87.02605568,-31.92,14.67,7.9406,false
16191,HIP 16191,52.14807322,87.39470345,-0.58,-2.86,9.2529,false
16754,HIP 16754,53.88797052,86.39978559,23.44,-20.78,9.1222,false
17195,HIP 17195,55.23321118,89.10495838,-52.23,-31.20,8.1893,false
17673,HIP 17673,56.78434422,87.89684377,42.91,-44.24,8.9181,false
19454,HIP 19454,62.50093270,86.62635165,142.70,-87.62,5.9267,false
24396,HIP 24396,78.50395198,88.22202521,-12.61,7.04,8.6786,false
25029,HIP 25029,80.38846974,86.86637898,-30.77,36.95,8.6548,false
25267,HIP 25267,81.05773817,86.28978155,6.67,-25.31,8.0401,false
31721,HIP 31721,99.53719080,87.29669721,0.31,-20.81,8.3823,false
32948,HIP 32948,102.94698942,86.68459703,0.12,-105.18,6.7604,false
36324,HIP 36324,112.16212696,88.63717825,-0.18,-37.98,9.4061,false
37391,HIP 37391,115.12954787,87.02015634,-53.48,-26.85,5.1339,false
38115,HIP 38115,117.16405761,86.33381857,-5.92,-17.58,8.8686,false
